"Nama"	"Alamat"	"Telpon"	"Kota"	"Website"
"Masjid A. Yani"	" Jl. Tegal Mulyorejo Baru no. 80 (Depan PolTek ITS)"	0	"Surabaya"	
"Masjid Baitun Nur, PLN "	" Masjid kantor PLN Ketintang, Jl. Ketintang Baru no. 9 (Sebelah PJB Ketintang)"	0	"Surabaya"	
"Masjid Al Amin (Sby)"	" Jl. Semampir Tengah 3A/25"	0	"Surabaya"	
"Masjid Baiturrohman "	" Jl. Sidosermo Indah 3/13"	0	"Surabaya "	
"Masjid Nurul Falah "	" Jl. Semolowaru Tengah VIII"	0	"Surabaya "	
"MASJID AN NUR"	"Kampus Universitas Muhammadiyah Sidoarjo"	0	"Sidoarjo"	
"Masjid Nurul Huda "	"Perumahan Sidokare Indah, Blok AU"	0	"Sidoarjo"	
"Masjid Jami’ Makkah "	" Jl. Bendul Merisi Tengah"	0	"Surabaya "	
"Masjid Muhammad Cheng Hoo"	"Jl Gading No 2"	"031-5342224"	"Surabaya "	
"Baitul Rahim"	"Perumahan Puri Artha Sentosa, Blok F Desa Waringin Jaya, Kec. Bojong Gede"	0	"Bogor"	
"Kiblatulmustaqim"	"Desa Lenek Pesiraman, Kec. Aikmel"	0	"Lombok Timur"	
"Mulia Amil Yatim"	"Yayasan Amal Saleh Dane Dharma, Desa Lenek Ramban Biaq, Kec. Aikmel"	0	"Lombok Timur"	
"Mushalla Amanah"	"Jalan Raya ITS"	0	"Surabaya"	"http://mushalla-amanah.net"
"Masjid Manarul Ilmi"	"Jalan Raya ITS"	0	"Surabaya"	"http://www.masjid.its.ac.id/"
"Masjid Agung Kota Kediri"	"Jl. Panglima Sudirman 1"	0	"Kediri"	
"Masjid Darul Arqom"	"Jl KH Wachid Hasyim 72 Kebonsari Purworejo"	"0343-412673"	"Pasuruan"	
"Masjid Jami Al Anwar"	"Jl Niaga 109 Kebonsari Purworejo"	"0343-424654"	"Pasuruan"	
"Masjid Al Mabrur"	"Dusun Sladi Kejayan"	"0343-431905"	"Pasuruan"	
"Masjid Nurul Huda"	"Jl Jend Urip Sumoharjo 3 Gadingrejo"		"Pasuruan"	
"Masjid Baitul Rahman"	"Jl Mangga Purutrejo Purworejo"		"Pasuruan"	
"Masjid Tiban"	"Jl.Anggur Rt 27 Rw 06 Sananrejo Kecamatan Turen"		"Malang"	
